customer_id,name,email,phone,address,registration_date,loyalty_status
1,Michelle Kidd,Michelle Kidd,619-723-4258,"USNS Santiago, FPO AE 80872",25-01-2025,Gold
2,Brad Newton,Brad Newton,537-674-1158,"38783 Oliver Street, West Kristenborough, MT 99752",13-07-2023,Silver
3,Larry Torres,Larry Torres,810-256-4505,"6845 Steele Turnpike, West Erikabury, UT 37487",18-08-2023,Bronze
4,Kimberly Price,Kimberly Price,423-222-9779,"1631 Alexis Meadows, Lake Amanda, CA 75179",08-12-2024,Gold
5,Matthew Phillips,Matthew Phillips,220-763-3522,"2274 Williams Heights Suite 895, Andersonhaven, OR 80565",03-02-2024,Gold
6,Darrell Gallagher Dvm,Darrell Gallagher Dvm,379-950-3695,"19887 Brandon Bridge, New Rebecca, MA 94947",03-03-2025,Bronze
7,Louis Miller,Louis Miller,198-862-7105,"02590 Marshall Well, Sheppardland, CT 88067",30-09-2024,Gold
8,Melissa Galloway Md,Melissa Galloway Md,548-549-9586,"209 Steven Oval Apt. 022, Mollyhaven, NC 10211",06-10-2023,Bronze
9,Matthew Harvey,Matthew Harvey,581-144-7338,"60123 Davis Ford, Mistychester, WA 69400",31-10-2024,Silver
10,Rachel White,Rachel White,410-729-9740,"6182 Brown Mountain, South Gary, IL 29016",25-02-2024,Bronze
11,Nicole Yang,Nicole Yang,589-638-7173,"923 Emily Mills Apt. 281, Port Roy, WI 03921",08-03-2025,Bronze
12,Christine Delgado,Christine Delgado,310-834-9008,"PSC 4025, Box 2078, APO AA 61121",18-04-2024,Bronze
13,Joseph Brennan,Joseph Brennan,486-789-1647,"8890 Keller Hills, North Paul, FM 64749",28-04-2024,Gold
14,Eric Thomas,Eric Thomas,434-130-5478,"352 Joel Extension Suite 962, New Anthony, CO 33299",09-05-2024,Bronze
15,Laura Perez,Laura Perez,319-310-5560,"1518 Green Locks Suite 348, New Brent, FM 51849",04-12-2024,Gold
16,Erin Matthews,Erin Matthews,480-780-3711,"67623 Morgan Hollow, Hillshire, IL 78665",12-11-2023,Bronze
17,Melissa Alvarado,Melissa Alvarado,411-857-4974,"USNS Austin, FPO AP 52643",24-06-2024,Gold
18,Mr. Ernest Dunn,Mr. Ernest Dunn,687-543-7471,"3112 Lydia Freeway Suite 927, South Susan, RI 11726",27-01-2025,Gold
19,David Johnson,David Johnson,244-439-2274,"992 Harris Pines Suite 049, North Marychester, PW 73177",21-02-2025,Silver
20,Wayne Morales,Wayne Morales,875-559-3832,"15344 Hill Pike, Matthewport, FL 45434",22-02-2025,Gold
21,Michael Vincent,Michael Vincent,685-935-4111,"455 Moore Orchard, New Richardhaven, RI 42023",13-06-2024,Silver
22,Tammie Mcgee,Tammie Mcgee,176-840-2659,"6371 Long Path Apt. 940, South Anthonyton, MT 86683",24-10-2024,Silver
23,Marisa Martinez,Marisa Martinez,221-609-1291,"5029 Wall Mountain Suite 847, New Chelseabury, IA 90393",29-03-2025,Bronze
24,Crystal Peterson,Crystal Peterson,430-711-1833,"Unit 5741 Box 1124, DPO AA 18219",07-08-2023,Bronze
25,Jeremy Alexander,Jeremy Alexander,119-969-9309,"1520 Reid Turnpike, Clarkville, CA 39102",13-06-2025,Silver
26,James Graham,James Graham,997-656-7695,"2809 Young Squares, Lisaside, VA 53732",10-03-2024,Gold
27,William Morrison,William Morrison,486-676-8923,"76577 Keith Falls, West Melissashire, NC 55275",01-08-2024,Gold
28,Brandon Hall,Brandon Hall,974-123-3048,"8143 Robert Cove Apt. 103, Sanchezport, CO 78231",07-04-2024,Gold
29,Morgan Wilson,Morgan Wilson,258-480-2466,"05880 Hudson Row, Jessefurt, KS 54128",04-11-2024,Silver
30,Heather Hill,Heather Hill,442-456-8115,"4339 Brown Crescent, Lambchester, SD 62832",15-12-2024,Silver
31,Louis Beasley,Louis Beasley,234-311-3270,"71975 Smith Drive Suite 746, Bairdmouth, MP 70886",18-09-2023,Bronze
32,Julie Shelton,Julie Shelton,307-103-5146,"USNS Brown, FPO AP 55711",02-12-2024,Gold
33,Erin Stephens,Erin Stephens,649-443-8577,"5911 Amy Creek Suite 329, Michaelside, CO 25722",02-08-2024,Silver
34,Christopher Powers,Christopher Powers,341-277-2276,"27599 David Mews, Juliefort, AL 92098",09-06-2024,Silver
35,Rachel Lang,Rachel Lang,343-776-8211,"PSC 5662, Box 7419, APO AA 70596",13-11-2024,Silver
36,Christopher Clark,Christopher Clark,119-609-3438,"2325 Danielle Knolls Suite 719, Gabrielleview, MT 11649",13-01-2024,Gold
37,Jessica Hardy,Jessica Hardy,244-875-7801,"8293 Martin Ridges Apt. 444, Lake Erikfort, MH 63270",13-08-2024,Gold
38,Paul Collins,Paul Collins,995-820-7641,"895 Anthony Lodge Suite 819, North Cassandra, TX 86555",05-07-2024,Bronze
39,Lauren Fisher,Lauren Fisher,469-507-3423,"9633 Victoria Loop Apt. 271, Hannahside, MS 96656",14-06-2025,Gold
40,Amy Gates,Amy Gates,872-198-3028,"69324 Jennifer Plaza Apt. 905, Haroldview, MD 67322",24-11-2024,Gold
41,Breanna Elliott,Breanna Elliott,984-532-9433,"29664 Lauren Mountain Apt. 243, West Mary, NV 57114",19-11-2024,Silver
42,Mr. Andrew Austin,Mr. Andrew Austin,778-918-1895,"200 Thomas Flat, South James, MP 96716",12-06-2025,Gold
43,Kelsey Young,Kelsey Young,219-420-1723,"8806 Davis Fall Suite 188, East Brenda, WI 95051",04-12-2024,Gold
44,Travis Neal,Travis Neal,118-105-7470,"1024 Cynthia Way, East Christina, HI 44699",13-01-2025,Bronze
45,Gordon Logan,Gordon Logan,306-549-7811,"8399 Christopher Cliff Suite 911, Joshuashire, GU 04822",24-06-2023,Silver
46,Felicia Noble,Felicia Noble,128-910-3340,"Unit 7244 Box 4360, DPO AP 11537",23-10-2023,Gold
47,Robin Hill,Robin Hill,966-751-9199,"93477 Jose Ville Suite 818, Bethanyton, GA 79420",22-04-2024,Silver
48,Julie Hardy,Julie Hardy,437-418-2029,"167 Lisa Orchard Suite 613, Meredithport, MT 25662",03-12-2023,Gold
49,Kevin Smith,Kevin Smith,207-565-1691,"346 Hill Meadow Suite 327, Port Kari, MP 75439",17-08-2023,Bronze
50,Valerie Lee,Valerie Lee,406-388-6679,"805 Silva Alley Suite 967, Kennethstad, ND 46111",06-04-2025,Gold
51,David Garza,David Garza,352-638-6388,"USS Williams, FPO AA 77634",24-10-2023,Silver
52,Andrew Strong,Andrew Strong,821-113-4811,"925 Sean Oval, East Vanessa, MS 63313",25-10-2024,Bronze
53,Phillip Brown,Phillip Brown,933-317-4041,"043 Bryant Avenue, Williamsview, WA 36043",30-05-2024,Bronze
54,James Phillips,James Phillips,249-864-1562,"8743 Henderson Fields Apt. 075, New Scottview, MA 34681",25-05-2025,Bronze
55,Travis Stephenson,Travis Stephenson,773-100-5068,"USS Barton, FPO AA 45890",27-04-2025,Bronze
56,Jaime Holmes,Jaime Holmes,882-636-4687,"44759 Torres Ridges Apt. 554, Lake Williamburgh, MH 84701",18-02-2024,Gold
57,Jade Murphy,Jade Murphy,315-698-7292,"34817 Hayden Pass, North Christina, TN 32326",06-06-2025,Silver
